,#,Country,Name,Location,Time,From Previous,From First
0,1,Spain,Alejandro Clemente León,Barcelona,00:37:59,-,-
1,2,Norway,Kristin Thuv,Bodø (Norge),00:38:32 ,+ 33'',at  33''
2,3,Czech Republic,Markéta Freislerová,Nupaky (Cze),00:42:34 ,+4' 02',at 4' 35''
3,4,USA,Andrea Peng,San Francisco (Ca),00:42:53 ,+ 19'',at 4' 54''
4,5,Hungary,Mercédesz Arthofer,Sopron (Győr-Moson-Sopron),00:42:59 ,+ 06',at 5' 00'
5,6,Czech Republic,Tereza Koptíková,Prague (Cze),00:44:19 ,+1' 20'',at 6' 20''
6,7,Germany,Katharina Reiner,Hof (Bavaria),00:46:00 ,+1' 41'',at 8' 01'
7,8,Italy,Chiara Dellantonio,Munich (Bayern),00:46:18 ,+ 18'',at 8' 19''
8,9,Italy,Lorenzo Dalla Valle,Lozzo Atestino (Padova),00:46:54 ,+ 36'',at 8' 55''
9,10,Netherlands,Delia Keetman-Verhoef,Heiloo (Noord Holland),00:47:00 ,+ 06',at 9' 01'
10,11,Norway,Ole Marton Ølberg,Alversund (Vestland),00:48:42 ,+1' 42'',at 10' 43''
11,12,Spain,Laura Aizpurua de Arteche,Madrid,00:49:24 ,+ 42'',at 11' 25''
12,13,France,Lisa Cruz,Louisfert (Loire Atlantique),00:49:40 ,+ 16'',at 11' 41''
13,14,Switzerland,Annemie Kostezer,Basel (Bs),00:49:59 ,+ 00',at 12' 00'
15,16,Spain,Gisela Arranz Toro,Madrid,00:50:20 ,+ 21'',at 12' 21''
16,17,USA,Michaela Keener,Lexington (Kentucky),00:50:28 ,+ 08',at 12' 29''
17,18,Spain,Soraya Pérez Carayol,Ibi (Alicante),00:50:44 ,+ 16'',at 12' 45''
18,19,Australia,Hannah Farthing,Warragul (Vic),00:51:15 ,+ 31'',at 13' 16''
19,20,Australia,Katrina Coleman,Launceston (Tasmania),00:51:17 ,+ 02',at 13' 18''
20,21,Spain,Ángel Heras Salcedo,Soria,00:51:19 ,+ 02',at 13' 20''
21,22,Lithuania,Erika Skarupskė,Vilnius,00:51:35 ,+ 16'',at 13' 36''
22,23,USA,Cathy Roiter,Duvall (Wa),00:51:36 ,+ 01',at 13' 37''
23,24,Netherlands,Sandra Kunnen,Haarlem (Noord-Holland),00:52:06 ,+ 30'',at 14' 07'
24,25,USA,Tiffany Medeiros,Lowell (Massachusetts),00:52:12 ,+ 06',at 14' 13''
25,26,USA,Yvonne Feucht,Burbank (California),00:52:36 ,+ 24'',at 14' 37''
26,27,Spain,Jaxeline Blanco Ruiz,Mijas (Málaga),00:52:58 ,+ 22'',at 14' 59''
27,28,USA,Kelly Walter,Phoenix (Arizona),00:53:00 ,+ 02',at 15' 01'
